,Comp0,Comp1,Comp2,Comp3,Comp4,Comp5,Comp6,Comp7,Comp8,Comp9,Comp10,Comp11,Comp12,Comp13,Comp14,Comp15,Comp16,Comp17,Comp18,Comp19,Comp20,Comp21,Comp22
C,1.0,1.0546232295062363,1.408484347388946,2.321973650816677,3.180047255865824,3.2307096729954825,3.602383194201983,4.521498478660693,4.604976760522695,4.685208025351924,4.6934502332472645,4.71303950301316,4.79972818832602,4.805416984515145,4.805568797618924,4.82895744748111,4.829074772134367,4.85132074515133,4.8685281647862935,4.875576428101909,4.8803270808075645,4.896746705975737,4.916724370572747
C_Test,0.05462322950623622,1.0546232295062363,1.602218899118981,1.6290592132439732,1.7827812370775311,2.220174801194074,2.7210770717067176,2.771479363066799,2.819377081336373,2.8674284475002616,2.8922012657578144,2.9197847938359915,2.9697602633217364,2.9715036759203564,2.971840902204577,3.0441182171135504,3.044193084012806,3.1217139637636184,3.189264003147115,3.1933679319885946,3.2437070469808944,3.32692272672355,3.327076350885947
Html,0.35386111788270963,0.9014567874954542,1.9014567874954542,2.1451722971646494,2.708926795178201,3.1173348905297154,4.0499049287230395,4.340529039387115,4.451735254842065,4.566937196687736,4.593639532679391,4.63195612846648,4.728461917464256,4.731796767290599,4.7319340018113,4.819547611589214,4.819561644179736,4.92880444718969,5.024439650530664,5.027764652907882,5.103923184959319,5.1741571752299595,5.1882090203813105
Html_test,0.9134893034277308,0.940329617552723,1.1840451272219183,2.1840451272219186,2.892783250791514,2.9187676667467204,3.154306184898934,4.121074735566728,4.143823490394202,4.167706286551436,4.167717036666657,4.168119807684366,4.19418421151559,4.194192309724119,4.194240560682836,4.196532845367501,4.200639245569458,4.20526049950317,4.210168876523774,4.210504678606629,4.2135347607039915,4.21800629664051,4.218040407337089
Java,0.8580736050491474,1.0117956288827052,1.5755501268962568,2.284288250465852,3.284288250465852,3.4654102677296534,4.062532658995678,4.784914630550616,4.929812076294273,5.077103722812948,5.110034107786533,5.173261174214521,5.3168849077179425,5.343127450497931,5.346243179010354,5.417678681348452,5.418296521083241,5.492109205125101,5.550124467574452,5.5729155212119545,5.589157704497795,5.633846255695536,5.663609750016239
Java_test,0.05066241712965835,0.48805598124620087,0.8964640765977151,0.9224484925529214,1.1035705098167226,2.1035705098167226,2.483737057009376,2.5088300206852305,2.576900691842258,2.6539470594498393,2.714861685893114,2.7957242327079013,2.925976595835329,2.9435542873342313,2.9482374323588787,3.071501275283196,3.077750886292683,3.2000617529454796,3.3031848139410087,3.3116463677760235,3.3311345897509774,3.392533711575968,3.396543383749528
PHP,0.3716735212065008,0.8725757917191446,1.805145829912469,2.0406843480646826,2.637806739330707,3.0179732865233606,4.017973286523361,4.326913437669535,4.4802118594525915,4.634389327392036,4.685591109108238,4.7582287378259265,4.895598126594052,4.903496572039451,4.903555205164053,5.0053096551328045,5.006365908569803,5.144339476317005,5.26134066780822,5.262411888926802,5.3173671566892615,5.4074213323220714,5.455233499936807
PHP_test,0.9191152844587099,0.9695175758187915,1.260141686482867,2.226910237150661,2.9492922087055997,2.9743851723814543,3.283325323527628,4.283325323527627,4.31401897001497,4.344596460348447,4.345972745405765,4.34939062277213,4.380771452447415,4.3809465208758205,4.381249188046229,4.387864282238706,4.390605209345612,4.4008424983226595,4.410175382807353,4.410286427942315,4.413056207944998,4.42374922531977,4.42527149864969
InternetPenetration,0.08347828186200291,0.13137600013157663,0.24258221558652643,0.26533097041400056,0.4102284161576581,0.47829908731468546,0.6315975090977421,0.6622911555850842,1.6622911555850841,2.606024897330929,2.669371720345899,2.8973874489938862,3.5709628086189675,3.61358635251317,3.620006852562485,4.016953164399483,4.069226975414728,4.19133760530631,4.24758177505076,4.5154526223496445,4.516858044564397,4.55528535483556,4.9654783231229915
InternetUsers,0.08023126482922875,0.12828263099311718,0.24348457283878822,0.2673673689960222,0.4146590155146973,0.4917053831222786,0.6458828510617234,0.6764603413952006,1.6201940831410453,2.620194083141045,2.7175831802481722,2.9728271590589195,3.6608539423684903,3.6978696180562993,3.702954009598542,4.1266431840623214,4.180124493025772,4.29658357913125,4.351086366422965,4.588049559386825,4.58882812488374,4.628634875189639,5.017333634970743
UploadSpeed,0.008242207895340135,0.03301502615289308,0.05971736214454784,0.05972811225976925,0.09265849723335379,0.1535731236766285,0.20477490539283044,0.20615119045014868,0.2694980134651189,0.3668871105722462,1.3668871105722462,2.136949818321045,2.270467708984331,2.2970599944385452,2.297490876436064,2.38454407102246,2.4673628492664874,2.535469554212712,2.588650279616745,2.6159606503388,2.641573527564705,2.6842484286944335,2.7481121633966876
Download,0.019589269765895923,0.04717279784407283,0.08548939363116145,0.08589216464887112,0.149119231076859,0.22998177789164667,0.30261940660933573,0.30603728397570085,0.5340530126236881,0.7892969914344352,1.5593596991832346,2.5593596991832346,2.899239544172357,2.964425429773891,2.9649574405671295,3.169743297007152,3.2725210044958204,3.4108080297511925,3.5022896153569887,3.6699909864134446,3.6866235404463596,3.7347751739170536,3.9129914903511622
FixedBroadbandSubscriptions,0.08668868531285964,0.1366641547986044,0.23316994379638029,0.25923434762760383,0.4028580811310252,0.5331104442584529,0.670479833026579,0.7018606627018636,1.375436022326945,2.0634628056365156,2.1969806962998013,2.536860541288924,3.536860541288924,3.581040500720076,3.582744123924143,4.001260750097409,4.087391673129451,4.2560228980805475,4.351003386882159,4.652762186343799,4.652824281101969,4.67192919351641,5.140379002919724
ChargesIntellProperty,0.0056887961891254465,0.007432208787745568,0.010767058614088759,0.01077515682261848,0.037017699602607514,0.05459539110150975,0.06249383654690814,0.0626689049753136,0.10529244886951622,0.14230812455732533,0.1689004100115397,0.23408629561307343,0.2782662550442254,1.2782662550442254,1.2788604984848628,1.2928515860020475,1.3251185926619522,1.339034967805377,1.3489465366390787,1.4665906055749842,1.4670573124924204,1.4887256170956784,1.5797410227719855
GovernmentExpenditureOnEducation,0.00015181310377897992,0.0004890393879998166,0.0006262739087007278,0.0006745248674171319,0.003790253379839951,0.008473398404487242,0.008532031529089294,0.008834698699497332,0.015255198748812572,0.020339590291055105,0.02077047228857399,0.021302483081812634,0.02300610628587954,0.023600349726516957,1.0236003497265167,1.046178108866652,1.0579110150610977,1.0590285584549768,1.0616845670214754,1.1212467903313645,1.153740512869072,1.1646821592449497,1.1667917869079956
GrossEnrolmentRatio,0.023388649862186348,0.09566596477115975,0.18327957454907345,0.18557185923373878,0.25700736157183623,0.38027120449615326,0.4820256544649054,0.4886407486573821,0.8855870604943803,1.30927623495816,1.3963294295445559,1.6011152859845783,2.0196319121578448,2.0336229996750297,2.056200758815165,3.056200758815165,3.1022877824564516,3.2398200375358477,3.3038463578308432,3.443726249969161,3.448109336227205,3.495734004457252,3.6157998358847276
HighTechnologyExports,0.00011732465325771596,0.00019219155251337384,0.0002062241430360528,0.004312624344993165,0.004930464079782704,0.011180075089269522,0.012236328526268147,0.014977255633174315,0.0672510666484194,0.12073237561187061,0.203551153855898,0.3063288613445662,0.3924597843766077,0.42472679103651245,0.4364596972309583,0.4825467208722449,1.482546720872245,1.5182167320991184,1.5494596701889376,1.5882147157270359,1.6109468773977915,1.6305518343737992,1.6625068556031757
GINIindex,0.022245973016963096,0.09976685276777546,0.20900965577772934,0.21363090971144205,0.28744359375330153,0.4097544604060984,0.5477280281533007,0.5579653171303481,0.6800759470219303,0.7965350331274073,0.864641738073632,1.002928763329004,1.1715599882801004,1.1854763634235252,1.1865939068174043,1.3241261618968005,1.359796173123674,2.359796173123674,3.236756631308841,3.3166494089070686,3.3253202439427425,3.373260268603678,3.422208056230032
IncomeShareLow20,0.01720741963496349,0.0847574590184603,0.18039266235943435,0.18530103938003778,0.24331630182938915,0.3464393628249183,0.46344055431613335,0.4727734388008263,0.5290176085452767,0.5835203958369927,0.6367011212410258,0.7281827068468221,0.8231631956484331,0.8330747644821348,0.8357307730486334,0.8997570933436289,0.9310000314334479,1.807960489618615,2.807960489618615,2.858094279888159,2.877127323543895,2.9052989627145958,2.932021803924343
SurveyMeanIncome,0.007048263315615778,0.011152192157095099,0.014477194534312668,0.014812996617167583,0.0376040502546702,0.04606560408968484,0.047136825208266495,0.04724787034322815,0.3151187176421125,0.5520819106059716,0.5793922813280264,0.7470936523844822,1.0488524518461224,1.166496520782028,1.226058744091917,1.365938636230235,1.4046936817683333,1.484586459366561,1.534720249636105,2.5347202496361048,2.536068938236663,2.540991457154028,2.7921498420432824
Unemployment,0.004750652705655734,0.055089767697955684,0.13124829974939278,0.13427838184675503,0.1505205651325959,0.17000878710754982,0.22496405487000987,0.22773383487269322,0.22913925708744579,0.22991782258436158,0.25553069981026655,0.2721632538431815,0.27222534860135167,0.27269205551878795,0.30518577805649544,0.309568864314539,0.33230102598529476,0.3409718610209687,0.36000490467670493,0.361353593277263,1.3613535932772627,1.3852699457681876,1.3973936246931593
UnemploymentTertiaryEducation,0.016419625168172303,0.09963530491082763,0.16986929518146787,0.1743408311179866,0.21902938231572705,0.280428504140718,0.3704826797735276,0.38117569714829924,0.41960300741946216,0.45940975772536075,0.5020846588550892,0.5502362923257831,0.5693412047402239,0.591009509343482,0.6019511557193595,0.6495758239494067,0.6691807809254143,0.71712080558635,0.7452924447570509,0.750214963674416,0.774131316165341,1.7741313161653407,1.8052125413876507
GDP_BM,0.019977664597010322,0.020131288759407083,0.034183133910757973,0.03421724460733673,0.0639807389280393,0.06799041110159909,0.11580257871633456,0.11732485204625456,0.5275178203336862,0.9162165801147906,0.9800803148170446,1.1582966312511531,1.6267464406544683,1.7177618463307753,1.7198714739938212,1.839937305421297,1.8718923266506735,1.9208401142770275,1.9475629554867748,2.198721340376029,2.2108450193010007,2.241926244523311,3.2419262445233104
